isolated_context,constraint,category
[CLS] reading and the [MASK] of the bus soon lulled him to sleep . [SEP],0.162126638,2
"[CLS] during his training , he got very bad [MASK] sickness . [SEP]",0.2312649116,3
[CLS] we had been warned that some people get [MASK] sick at this film . [SEP],0.3580074459,4
[CLS] sarah put up [MASK] lights and an alarm . [SEP],0.4316344261,5
[CLS] he swung the hammer in a large sweeping [MASK] . [SEP],0.550913766,6
"[CLS] it fell in , what seemed like , slow [MASK] . [SEP]",0.6146550626,7
[CLS] sebastian had [MASK] sickness every time he rode on a train . [SEP],0.7018705755,8
[CLS] she installed a gate with a [MASK] detector . [SEP],0.8502776325,9
[CLS] yesterday i had the worst [MASK] sickness . [SEP],0.9058064222,10
[CLS] the top of the [MASK] flattened out and was scorched black . [SEP],0.0409943089,1
[CLS] billy never rolled rocks down the [MASK] again . [SEP],0.1791373268,2
[CLS] his dad surprised him one day with a new [MASK] bike . [SEP],0.2110261247,3
"[CLS] during a run down a [MASK] , he hit some rough snow and tumbled . [SEP]",0.3612984419,4
[CLS] she decided that she would climb a [MASK] . [SEP],0.4998122156,5
[CLS] he loved taking pictures of the local [MASK] peak . [SEP],0.5255140811,6
[CLS] a [MASK] lion was upright leaning against the passenger side door . [SEP],0.6193334013,7
[CLS] the animal got closer and drake saw it was a [MASK] lion . [SEP],0.7868696749,8
[CLS] he wanted to ride on space [MASK] but the line was very long . [SEP],0.8951497674,9
[CLS] both enjoyed the excitement of [MASK] biking . [SEP],0.9815682471,10
[CLS] they drove to the [MASK] and stayed ten days . [SEP],0.0637962893,1
[CLS] we drove to the [MASK] for the weekend . [SEP],0.1176409312,2
[CLS] tom was going to climb [MASK] with friends . [SEP],0.2400582731,3
[CLS] andy loved skiing on the colorado [MASK] . [SEP],0.3727027327,4
[CLS] neil wanted to see the [MASK] of asia . [SEP],0.4935097545,5
[CLS] dan and his buddy dave went camping up in the [MASK] . [SEP],0.5907598883,6
[CLS] she joined a club of people who climbed [MASK] together . [SEP],0.6270110011,7
"[CLS] in oregon , felipe hiked great [MASK] and ate delicious food . [SEP]",0.7128451169,8
"[CLS] once , he took his brother on a dirt road , high up in the [MASK] . [SEP]",0.8172081709,9
[CLS] the north family took a vacation to the blue ridge [MASK] . [SEP],0.9923318028,10
[CLS] the doctor gave her a shot to number her [MASK] . [SEP],0.067376554,1
[CLS] lorraine warned her mother that arthur had trash in his [MASK] . [SEP],0.1957157254,2
[CLS] his [MASK] was wired shut while he healed . [SEP],0.2450586185,3
[CLS] he decided to kick her in the [MASK] . [SEP],0.3269953877,4
[CLS] lucy had a huge gray rat in her [MASK] that was singing it 's last song . [SEP],0.4119924009,5
[CLS] his [MASK] was always red from eating them . [SEP],0.5984980166,6
[CLS] the dog had a few scraps of fabric in his [MASK] . [SEP],0.6025672555,7
[CLS] the gum fell out of her [MASK] and into her long hair . [SEP],0.7718489468,8
[CLS] gertie 's daughter quickly popped it into her [MASK] . [SEP],0.8950937986,9
"[CLS] when it stopped , it left a taste like pennies in my [MASK] . [SEP]",0.9942907095,10
"[CLS] he would miss his friends , but today was the day of the [MASK] . [SEP]",0.0551102925,1
[CLS] amanda 's father went to court and blocked the [MASK] . [SEP],0.1873190552,2
[CLS] his boss had a truck that he let dan borrow for the [MASK] . [SEP],0.2463762909,3
[CLS] the [MASK] was seamless and john loved his new job . [SEP],0.3001521006,4
[CLS] the doors closed and the elevator started to [MASK] . [SEP],0.4745687544,5
[CLS] tom decided to [MASK] to an asian country . [SEP],0.5601216257,6
[CLS] he regrets his decision and plans to [MASK] back home . [SEP],0.6034623981,7
[CLS] the landlord called and she was approved and set to [MASK] in . [SEP],0.7330313623,8
[CLS] i 've never seen anyone [MASK] a crowd like that . [SEP],0.8163297772,9
[CLS] the jury watched his every [MASK] . [SEP],0.9220924675,10
"[CLS] fortunately , the [MASK] was n't that scary and we had a good time . [SEP]",0.074086614,1
[CLS] caleb had wanted to see a [MASK] . [SEP],0.1416679621,2
[CLS] the [MASK] was so good that i forgot about the storm . [SEP],0.2396828011,3
"[CLS] amy , kim , and lynn were watching the 1st hunger games [MASK] . [SEP]",0.3346883282,4
[CLS] he wanted to see a [MASK] that night . [SEP],0.4882079363,5
[CLS] charles 's favorite [MASK] was die hard . [SEP],0.5176716149,6
[CLS] they wanted to see a new horror [MASK] . [SEP],0.6260871589,7
[CLS] charlie went to the [MASK] store with his mom . [SEP],0.7149798274,8
[CLS] rita was watching a scary [MASK] by herself . [SEP],0.8904365599,9
[CLS] we ate them and enjoyed them while watching a [MASK] . [SEP],0.9243629277,10
[CLS] the [MASK] made him stick . [SEP],0.0385819394,1
[CLS] he quickly became annoyed with cleaning the [MASK] in his home . [SEP],0.1277440451,2
[CLS] her yard was covered in [MASK] . [SEP],0.2315142825,3
[CLS] they splashed about and started throwing [MASK] at each other . [SEP],0.3107766956,4
[CLS] they were covered in [MASK] from head to toe by the time they went in . [SEP],0.4872406423,5
[CLS] he had rolled in [MASK] puddles after the rain and was a mess . [SEP],0.5850334466,6
[CLS] bobby and susie were playing [MASK] pies . [SEP],0.6156814396,7
[CLS] susie laughed as [MASK] oozed down jamie 's chin . [SEP],0.8584035635,9
[CLS] there was [MASK] flying . [SEP],0.9814243019,10
[CLS] he wanted to build some [MASK] . [SEP],0.0626425427,1
[CLS] he used the milk for protein to help build [MASK] . [SEP],0.1584969833,2
[CLS] she had pulled a [MASK] overstretching herself . [SEP],0.2777303308,3
[CLS] tom wanted to gain more [MASK] . [SEP],0.3665708601,4
[CLS] she worked hard all summer to build [MASK] . [SEP],0.4865674376,5
[CLS] mike is trying to increase his [MASK] mass . [SEP],0.575450182,6
[CLS] i have gained 15 pounds of [MASK] and i feel better about myself . [SEP],0.6149392426,7
[CLS] the coach told brad to gain about ten pounds of [MASK] then come back . [SEP],0.7571424842,8
[CLS] as he aged his [MASK] tone decreased and body fat increased . [SEP],0.8088992536,9
[CLS] jeff is so scared he tries not to move a [MASK] . [SEP],0.9830370843,10
[CLS] i 'm a huge [MASK] lover . [SEP],0.085033739,1
"[CLS] once he got to college , he started to learn more about dance [MASK] . [SEP]",0.1246810593,2
[CLS] the smell of pine and the sounds of [MASK] filled the air . [SEP],0.2329743244,3
[CLS] gina and her sister were watching [MASK] videos . [SEP],0.362869978,4
"[CLS] after the new [MASK] came on , tammy got on the dance floor to show off . [SEP]",0.4202903882,5
[CLS] tim started dancing to the [MASK] . [SEP],0.5157587379,6
[CLS] one day she could hear his [MASK] coming from his head phones . [SEP],0.6089389026,7
"[CLS] bill was a quiet man who loved [MASK] , fishing , and animals . [SEP]",0.7485638857,8
[CLS] kara brought a small speaker system to play the [MASK] for the dance . [SEP],0.8456093967,9
[CLS] they all danced around with the lights on and [MASK] playing . [SEP],0.9609184861,10
[CLS] the [MASK] technician suggested a design that used multiple colors . [SEP],0.08414088,1
[CLS] i am buying a [MASK] hook tomorrow . [SEP],0.19066374,2
[CLS] she drives into town to see the [MASK] colorist . [SEP],0.2191656455,3
[CLS] he put the picture on the [MASK] and stood back . [SEP],0.3504496217,4
[CLS] he had accidentally bounced his basketball on a [MASK] in the ground . [SEP],0.4220601618,5
[CLS] franny spilled some [MASK] polish . [SEP],0.5460288525,6
[CLS] jane bought new [MASK] polish . [SEP],0.6743850112,7
[CLS] tanya needed to get her [MASK] polish off . [SEP],0.7636986971,8
"[CLS] finally , he found found bitter finger [MASK] polish . [SEP]",0.8816895783,9
[CLS] i wore black [MASK] polish and dyed my hair blue . [SEP],0.9908998311,10
"[CLS] shanna and her husband also liked another [MASK] , and waited to decide . [SEP]",0.0983294696,1
[CLS] he was bullied both for his [MASK] and his scar . [SEP],0.1283763088,2
[CLS] he would let me [MASK] them even . [SEP],0.2111563571,3
"[CLS] she said lots of glowing things , except she got my [MASK] wrong . [SEP]",0.3049002849,4
[CLS] he wanted new [MASK] brand shoes . [SEP],0.4226488248,5
[CLS] i decided to [MASK] him muffin . [SEP],0.572612524,6
[CLS] the [MASK] of her band is untamed creatures . [SEP],0.6617915928,7
[CLS] she yelled the [MASK] tom cruise loudly only to discover it was him ! [SEP],0.7728480399,8
[CLS] amy could n't remember the [MASK] of the little sister . [SEP],0.8964433074,9
[CLS] his [MASK] was earl . [SEP],0.9338801503,10
[CLS] they spent most of their formative years in [MASK] . [SEP],0.0488405395,1
[CLS] she made her dad a delicious breakfast from [MASK] ! [SEP],0.1350396462,2
[CLS] bob loved [MASK] . [SEP],0.2190975174,3
[CLS] we decided to take a [MASK] trail . [SEP],0.3246836103,4
[CLS] scott was walking his dog out in [MASK] . [SEP],0.4087883383,5
[CLS] but sometimes mother [MASK] does not agree with them . [SEP],0.5513294041,6
[CLS] ken collected leaves and flowers on [MASK] walks . [SEP],0.6402544081,7
[CLS] mother [MASK] sure taught me to respect her and to always be prepared . [SEP],0.7137495875,8
[CLS] that was the moment she realized she loved [MASK] . [SEP],0.8457575142,9
[CLS] now public speaking has become second [MASK] to me ! [SEP],0.9635242224,10
[CLS] so he enrolled and the [MASK] and applied . [SEP],0.0898492336,1
[CLS] vince 's family has always joined the [MASK] . [SEP],0.1389804706,2
[CLS] nio wanted to join the [MASK] - he always had ! [SEP],0.2362386808,3
[CLS] brad 's father was a [MASK] officer and he wanted brad to enlist as well . [SEP],0.3600854576,4
[CLS] they he grew up and joined the [MASK] . [SEP],0.4878097922,5
[CLS] jake wore a [MASK] blue suit . [SEP],0.5211346447,6
[CLS] he finished high school and enlisted in the [MASK] . [SEP],0.6716659069,7
[CLS] he 's now a rifle marksman for the us [MASK] . [SEP],0.7884515226,8
[CLS] jon went through [MASK] seals boot camp . [SEP],0.8015543818,9
[CLS] jon wanted to become a [MASK] seal . [SEP],0.9860526323,10
[CLS] lori now keeps the dog inside whenever the mail truck is [MASK] . [SEP],0.0774175748,1
[CLS] she tripped on a rock that was [MASK] her shoe . [SEP],0.1488165967,2
[CLS] they 'd play [MASK] the bow when we were close to shore . [SEP],0.2898955047,3
[CLS] the pet store [MASK] him was having an adoption event . [SEP],0.3192896992,4
[CLS] one night we got a call about a big hive [MASK] our house . [SEP],0.4455558658,5
[CLS] gina was sitting [MASK] a window looking into the yard . [SEP],0.5115654469,6
[CLS] she did n't see anyone that she knew anywhere [MASK] her . [SEP],0.6435442269,7
[CLS] bob bought chinese food from a restaurant [MASK] his house . [SEP],0.7372048199,8
[CLS] there was a thunderstorm [MASK] the highway . [SEP],0.8364987671,9
[CLS] he was n't anywhere [MASK] a gas station . [SEP],0.9888876677,10
"[CLS] the [MASK] snapped , leaving him without one for the show . [SEP]",0.0917031281,1
"[CLS] but doing situps and crunches , he hurt his [MASK] and back . [SEP]",0.1836386696,2
[CLS] tim was ultimately airlifted to a hospital with a broken [MASK] . [SEP],0.2462263256,3
[CLS] all her [MASK] was getting swollen . [SEP],0.3529604748,4
[CLS] when she wrapped it around his [MASK] he said pink was for girls . [SEP],0.4230499566,5
"[CLS] finally , a guy with a group of guys snatched it from arthur 's [MASK] . [SEP]",0.512719661,6
[CLS] her arms and [MASK] were bright red with sunburn ! [SEP],0.6005271375,7
[CLS] the puppy came out of the garage with a bow on it 's [MASK] . [SEP],0.7114869356,8
"[CLS] finally , she caught up with her and grabbed her around the [MASK] . [SEP]",0.8260768354,9
[CLS] sara felt a suspicious lump in her [MASK] . [SEP],0.9607438147,10
[CLS] a girl wished for a silver [MASK] . [SEP],0.0898477063,1
[CLS] the appraiser said the [MASK] was worthless . [SEP],0.1478437707,2
[CLS] cindy wanted to buy her mother a [MASK] for her birthday . [SEP],0.2481154725,3
[CLS] she cried when he gave her a special [MASK] for christmas . [SEP],0.3676175177,4
[CLS] he finally got enough money to buy his mom a nice [MASK] . [SEP],0.4154387265,5
[CLS] mary wanted to buy a diamond [MASK] . [SEP],0.5468655825,6
[CLS] cay needed a [MASK] to wear to prom . [SEP],0.6579897404,7
[CLS] he gave her a really nice [MASK] . [SEP],0.7745310664,8
[CLS] he stole a pearl [MASK] . [SEP],0.8795383275,9
[CLS] he bought his wife a new pearl [MASK] . [SEP],0.9196620286,10
[CLS] she decided to volunteer for a organization in [MASK] . [SEP],0.0242542736,1
[CLS] but she kept buying things that she did n't [MASK] . [SEP],0.1445333809,2
"[CLS] she concluded she would [MASK] thousands of visitors per hour , minimum . [SEP]",0.2404797971,3
[CLS] fred saved every penny he did n't [MASK] for bills . [SEP],0.3135944605,4
[CLS] she made a list of what she 'd [MASK] to do and buy . [SEP],0.4063532501,5
[CLS] sal decided she would never [MASK] to call a pizzeria again ! [SEP],0.5134103298,6
[CLS] i just [MASK] some help from some friends . [SEP],0.6248499751,7
[CLS] i think i [MASK] to get a new puppy . [SEP],0.7660492063,8
[CLS] they would [MASK] a shower and toilet to use . [SEP],0.8051123321,9
[CLS] she realized she would [MASK] to go back to the expensive brand . [SEP],0.9241603613,10
[CLS] he would make [MASK] posts about other teams on facebook . [SEP],0.0806504209,1
"[CLS] her friend , lori , made a [MASK] comment about donald trump . [SEP]",0.1627539694,2
"[CLS] luckily , the test came out [MASK] . [SEP]",0.2312028259,3
[CLS] some of the responses george received were very [MASK] . [SEP],0.3635001034,4
[CLS] todd wondered why he kept having the same [MASK] repeating thoughts . [SEP],0.4403913617,5
[CLS] he got a lot of [MASK] feedback . [SEP],0.5482077748,6
[CLS] most of the reviews were [MASK] . [SEP],0.692459017,7
[CLS] reviews were mostly [MASK] . [SEP],0.7925845981,8
[CLS] i have [MASK] memories of that time . [SEP],0.801469624,9
[CLS] brenda did not like the instructors [MASK] attitude . [SEP],0.9953922629,10
[CLS] they researched and found just the right [MASK] . [SEP],0.0575816184,1
[CLS] she put up signs all over her [MASK] . [SEP],0.1608650908,2
[CLS] all the kids in the [MASK] came out after dinner . [SEP],0.2415949777,3
[CLS] jaime was riding her bike around the [MASK] . [SEP],0.3260103539,4
[CLS] every kid in the [MASK] asks me for advice . [SEP],0.4250611365,5
[CLS] paula 's [MASK] never seemed as peaceful after that . [SEP],0.5543422401,6
[CLS] it knocked out all of the power in his [MASK] . [SEP],0.6529953182,7
[CLS] i was driving around a [MASK] . [SEP],0.7464390099,8
[CLS] jerry was a tough kid from a tough [MASK] . [SEP],0.8584981263,9
[CLS] my daughter 's [MASK] friend debbie got married last november . [SEP],0.9670994878,10
[CLS] she felt better was was still [MASK] . [SEP],0.0861156136,1
[CLS] she is [MASK] about it . [SEP],0.1214819215,2
[CLS] allie had just moved to town and was very [MASK] . [SEP],0.2698016316,3
"[CLS] barry was very [MASK] to jump , but he closed his eyes and jumped . [SEP]",0.3885586113,4
[CLS] she was [MASK] at tryouts . [SEP],0.4677250907,5
[CLS] billy was [MASK] about going to the school christmas dance . [SEP],0.5757134259,6
[CLS] i was very [MASK] about going to a new place . [SEP],0.6509731114,7
"[CLS] when jay found out her older sister was pregnant , she was [MASK] . [SEP]",0.709212482,8
[CLS] kim was a [MASK] wreck when she got home . [SEP],0.8752532899,9
[CLS] sally was so [MASK] about her first day at the new school . [SEP],0.9592957497,10
[CLS] linda [MASK] wore her red dress again . [SEP],0.0734767765,1
[CLS] bill learned to [MASK] buy a used car during the winter . [SEP],0.1104995795,2
[CLS] the bills [MASK] were able to get the offense going . [SEP],0.2616988495,3
[CLS] i decided to [MASK] return to the cafe . [SEP],0.3854627982,4
[CLS] as we started to move she held my hand after that i [MASK] had trouble . [SEP],0.4264876693,5
[CLS] jim was [MASK] able to get it back . [SEP],0.5374769568,6
[CLS] they claimed he [MASK] paid his bill . [SEP],0.6094519794,7
[CLS] craig 's sons [MASK] went trick or treating with him again . [SEP],0.7731840611,8
[CLS] he 'd [MASK] encountered a vault he could n't penetrate . [SEP],0.8177679479,9
"[CLS] he had [MASK] been on a train before , so he was excited . [SEP]",0.9765092731,10
[CLS] ryan won first place for his cool [MASK] invention . [SEP],0.0277757603,1
"[CLS] one day , jess accepted a [MASK] job across the country . [SEP]",0.1659781858,2
[CLS] she now has two birds and she named her [MASK] bird rico . [SEP],0.2503214031,3
[CLS] a [MASK] playground was made in the school . [SEP],0.3822361082,4
[CLS] kay wanted a [MASK] car . [SEP],0.41489546,5
[CLS] it was the first day of a [MASK] school . [SEP],0.5760040209,6
[CLS] for her birthday she got a [MASK] coffee maker . [SEP],0.6775086224,7
[CLS] hannah had recently started a [MASK] job . [SEP],0.7571666241,8
[CLS] bob wanted to perform well at his [MASK] job . [SEP],0.8238831758,9
[CLS] i started a [MASK] job last week . [SEP],0.9042317569,10
[CLS] may had [MASK] . [SEP],0.0957888421,1
[CLS] this morning i was reading the [MASK] online . [SEP],0.1726100631,2
"[CLS] after the appraisal , dan got the greatest [MASK] ever . [SEP]",0.2185597271,3
[CLS] the local [MASK] showed up . [SEP],0.3669196516,4
[CLS] by the time the commercials were over the show cut to national [MASK] . [SEP],0.4301814884,5
[CLS] tom took the [MASK] poorly . [SEP],0.5272497013,6
[CLS] he told him that there was great [MASK] about ellen . [SEP],0.6768552363,7
[CLS] my wife and i were very excited to hear this [MASK] . [SEP],0.7129371762,8
[CLS] when caroline 's parents heard the [MASK] they were elated . [SEP],0.8769388795,9
[CLS] emily broke the unfortunate [MASK] to her . [SEP],0.9881281555,10
[CLS] i woke up one morning and went outside to grab the [MASK] . [SEP],0.0759017374,1
[CLS] the first page of the [MASK] told of another store closing . [SEP],0.1907474101,2
[CLS] i was reading the [MASK] one day . [SEP],0.2119477615,3
[CLS] he subscribed to the daily [MASK] . [SEP],0.3081797659,4
[CLS] jana just got a job writing for a [MASK] . [SEP],0.4558219165,5
[CLS] harry was an investigative reporter for his local [MASK] . [SEP],0.5621750057,6
[CLS] one day brenda heard kyle reading a [MASK] article . [SEP],0.6805337667,7
[CLS] rita is a journalist who writes for a small town [MASK] . [SEP],0.7139853239,8
[CLS] leo was a reporter for a local [MASK] . [SEP],0.8121681213,9
[CLS] she clutched a [MASK] clipping of the car accident he died in . [SEP],0.9515743554,10
[CLS] he was very [MASK] . [SEP],0.0453788489,1
[CLS] i did n't know such [MASK] people lived across the road from me . [SEP],0.1217451245,2
"[CLS] pat no longer had little resources , he had a [MASK] radio . [SEP]",0.2481716201,3
[CLS] after they left the wedding they went to eat at a [MASK] restaurant . [SEP],0.3541469276,4
[CLS] it was a [MASK] autumn day and jacob has his friends over for a grill . [SEP],0.4097086713,5
[CLS] she liked to take a [MASK] hot bath at the end of the day . [SEP],0.5903498232,6
[CLS] he noticed a young kid watching the [MASK] man fly his kite . [SEP],0.6201680601,7
[CLS] larry had a very [MASK] job with good pay . [SEP],0.7099944949,8
[CLS] bob sold off their belongings and used the money to buy a [MASK] car . [SEP],0.8000672162,9
"[CLS] finally , he had [MASK] organized drawer . [SEP]",0.9506465197,10
[CLS] ryan 's dog got out one [MASK] . [SEP],0.086941652,1
[CLS] she seriously considered leaving that [MASK] . [SEP],0.1418098137,2
[CLS] ada was emptying the trash one [MASK] . [SEP],0.2718821615,3
[CLS] jim came over to his apartment one [MASK] . [SEP],0.368404448,4
[CLS] ivy got a flat tire one [MASK] . [SEP],0.4076752067,5
"[CLS] the first [MASK] home , the ferret ran all over and made lots of noise . [SEP]",0.5356790721,6
[CLS] at [MASK] his mom prepared him some chicken noodle soup . [SEP],0.6081794202,7
[CLS] brad had to switch to a [MASK] shift job . [SEP],0.716801852,8
[CLS] it's very quiet at [MASK] with no nurses running around the hospital . [SEP],0.8423479497,9
[CLS] tom then had to stay up all [MASK] writing the essay . [SEP],0.9795919061,10
[CLS] she borrowed a [MASK] kill trap from a neighbor . [SEP],0.0474574212,1
[CLS] i could see [MASK] solutions on the horizon . [SEP],0.1835340336,2
[CLS] she tells him [MASK] . [SEP],0.2907504961,3
[CLS] it was a lot of work for [MASK] return . [SEP],0.344116047,4
[CLS] i had [MASK] cash on me . [SEP],0.4255472869,5
"[CLS] she served her family side dishes and pie , but [MASK] turkey . [SEP]",0.5509375632,6
[CLS] this year will be [MASK] exception . [SEP],0.6872138083,7
[CLS] i had [MASK] cash on me so i walked on by . [SEP],0.7739425004,8
[CLS] peter pays [MASK] attention to the haters . [SEP],0.8451747596,9
[CLS] [MASK] one could ever hear what she was saying . [SEP],0.9998567998,10
[CLS] his neighbors started to complain about the [MASK] . [SEP],0.0880649928,1
[CLS] bill felt terrible about the [MASK] . [SEP],0.1585613377,2
[CLS] there was a [MASK] outside . [SEP],0.2235254049,3
[CLS] ron hated music and thought it was all annoying [MASK] . [SEP],0.3772343025,4
[CLS] his car begins to make a loud [MASK] . [SEP],0.4390287399,5
"[CLS] while talking a stroll , he heard a weird [MASK] . [SEP]",0.5474512875,6
[CLS] but she caused a lot of [MASK] with pots and pans . [SEP],0.6244435906,7
[CLS] he heard a honking [MASK] and jumped and ran away . [SEP],0.7381643653,8
[CLS] he tried to make some [MASK] so they would notice him there . [SEP],0.8049359024,9
[CLS] he was relieved when it was just a stray cat making a lot of [MASK] . [SEP],0.9643752575,10
[CLS] there were [MASK] in her grandma 's house . [SEP],0.0796745513,1
[CLS] there were [MASK] nearby so she would n't take her . [SEP],0.1379320659,2
"[CLS] they viewed a lot of different dogs , but [MASK] seemed right for them . [SEP]",0.2291646302,3
[CLS] i remembered that [MASK] of us had sleepovers growing up . [SEP],0.3669271916,4
[CLS] there was [MASK] in the house . [SEP],0.4053398967,5
[CLS] [MASK] seemed that effective . [SEP],0.5590732694,6
"[CLS] [MASK] of the ingredients went together , it was just a hodge - podge . [SEP]",0.6104444265,7
"[CLS] she sent her tales to many studios , but [MASK] replied . [SEP]",0.7574943006,8
[CLS] [MASK] of ranger 's friends could find his bone . [SEP],0.8513061702,9
[CLS] [MASK] of them were anything she wanted . [SEP],0.9691909254,10
[CLS] he drove to the store to find the [MASK] . [SEP],0.0578914322,1
[CLS] however she grabbed the wrong [MASK] . [SEP],0.1020531133,2
[CLS] ben thought the homemade [MASK] were delicious ! [SEP],0.2684154063,3
[CLS] then i became ramen [MASK] lover . [SEP],0.3837243617,4
[CLS] the kids loved playing with pool [MASK] . [SEP],0.4180665761,5
[CLS] he has [MASK] for dinner . [SEP],0.5308468,6
[CLS] scott ate a lot of ramen [MASK] when he was in college . [SEP],0.6747838408,7
[CLS] peter bought [MASK] . [SEP],0.7105571926,8
[CLS] he ate nothing but ramen [MASK] for the next three days . [SEP],0.886977911,9
[CLS] i always watch them eating ramen [MASK] and seafood . [SEP],0.9484348893,10
"[CLS] afterwards , ina 's ears were tiny - and [MASK] ! [SEP]",0.0823810697,1
[CLS] he mixed some cold water in order to make it [MASK] . [SEP],0.1881855726,2
[CLS] the printer images were [MASK] afterward . [SEP],0.2010911182,3
[CLS] the babies were crying but that was [MASK] . [SEP],0.3996369094,4
[CLS] i awoke to a [MASK] day and a beautiful sunrise . [SEP],0.4276456237,5
[CLS] tom felt worse about his [MASK] life after . [SEP],0.5654696524,6
[CLS] she poured her [MASK] bowl of cereal . [SEP],0.6591350287,7
[CLS] vince realized he was wearing thicker socks than [MASK] . [SEP],0.7252419591,8
[CLS] it was getting so unbearable that it was hard to lead a [MASK] life . [SEP],0.8874307573,9
[CLS] half the people there had dressed [MASK] as well ! [SEP],0.9193785489,10
"[CLS] when i was a kid , i was really sensitive about my [MASK] . [SEP]",0.098236762,1
[CLS] then he noticed the kid picking his [MASK] without discretion . [SEP],0.1813321635,2
[CLS] i ended up with a concussion and bloody [MASK] . [SEP],0.2940014005,3
[CLS] he stopped at a light and had an itchy [MASK] . [SEP],0.337170586,4
[CLS] he 'd turn his [MASK] up and walk away from a wagging tail . [SEP],0.4903157577,5
[CLS] the soda came out of my [MASK] ! [SEP],0.534073174,6
[CLS] jimbo laughed so hard milk came out of his [MASK] . [SEP],0.6586429775,7
"[CLS] i went to an ear , [MASK] and throat doctor . [SEP]",0.7282818705,8
[CLS] kia had a runny [MASK] and headache for weeks . [SEP],0.892191112,9
"[CLS] sadly , jen began to sneeze and get a runny [MASK] . [SEP]",0.9557083845,10
[CLS] most of her family could [MASK] . [SEP],0.0925190747,1
[CLS] jen had [MASK] been running for a while . [SEP],0.192836456,2
[CLS] [MASK] heeding the warning bill died one year later from cancer . [SEP],0.2905629426,3
[CLS] the cop was [MASK] impressed and cited her for her expired tags as well . [SEP],0.3878501207,4
[CLS] he arrived 15 minutes early and jane was [MASK] ready . [SEP],0.4072856456,5
[CLS] abby was horrified that someone would hit her car and [MASK] stop . [SEP],0.5303188711,6
"[CLS] the next morning , david could [MASK] open his car door . [SEP]",0.6355139315,7
"[CLS] it hurt so much , he could [MASK] bend it . [SEP]",0.7006966174,8
[CLS] then i realized i would [MASK] go on it again . [SEP],0.8675661087,9
[CLS] he did [MASK] have the money for a fancy dinner . [SEP],0.998108238,10
[CLS] and he asked them to bring the [MASK] to him . [SEP],0.0308823949,1
[CLS] the [MASK] said he hoped to see him at the next reunion . [SEP],0.1779061705,2
[CLS] she took the [MASK] away and read it out loud . [SEP],0.294269532,3
"[CLS] the next day , he found a love [MASK] under his windshield wiper . [SEP]",0.370845072,4
[CLS] i decided to flirt with a cute waiter by leaving a [MASK] with the bill . [SEP],0.4585500211,5
"[CLS] on the same [MASK] , his phone had no signal around the area . [SEP]",0.5085814893,6
[CLS] a few weeks later she received a thank - you [MASK] . [SEP],0.6261869818,7
[CLS] there is a [MASK] on the table telling her mother to find a hotel . [SEP],0.7654957473,8
"[CLS] but as he did n't have a doctor 's [MASK] , he had to attend . [SEP]",0.8935726881,9
[CLS] candy decided to write a [MASK] to dan . [SEP],0.9197598994,10
"[CLS] nancy , who contributed [MASK] to the project , started to talk . [SEP]",0.0835864507,1
[CLS] she was lowered into the water but ultimately felt [MASK] . [SEP],0.1616018042,2
"[CLS] he looked down , confused , only to find [MASK] at his feet . [SEP]",0.2753103301,3
[CLS] the american team led the high school game one to [MASK] . [SEP],0.3691471219,4
[CLS] i researched congress accomplishments online and found [MASK] . [SEP],0.4489263147,5
"[CLS] since [MASK] was inside , i tried shouting at the delivery man . [SEP]",0.5425130427,6
"[CLS] charles lashed out , all that money and you ca n't pay me [MASK] ? [SEP]",0.6423856318,7
"[CLS] there was [MASK] interesting in the home , or so james thought . [SEP]",0.746165365,8
"[CLS] however , there was [MASK] to be scared of because it was lame . [SEP]",0.8696921468,9
[CLS] the dog did [MASK] but cry . [SEP],0.9787731469,10
[CLS] so then alfred decided to read a book and chose a [MASK] . [SEP],0.0833868366,1
[CLS] after reading the [MASK] i drove through brighton . [SEP],0.1633435041,2
"[CLS] i am on page 700 , and will be relieved to finish this wild [MASK] . [SEP]",0.227397576,3
[CLS] angela was trying to write a [MASK] . [SEP],0.3031679913,4
[CLS] i read smilla 's sense of snow and a [MASK] about wolves in alaska . [SEP],0.4650615007,5
[CLS] she 's now a famous novelist and writes a [MASK] every year . [SEP],0.5026604086,6
[CLS] lola was writing her first [MASK] . [SEP],0.6001915932,7
[CLS] she resumed by turning the page of the [MASK] he was reading . [SEP],0.7418471873,8
"[CLS] the advance was $ 150,000 , and the [MASK] was a bestseller . [SEP]",0.8332587183,9
[CLS] she loaned a romance [MASK] to a friend . [SEP],0.9145546257,10
[CLS] [MASK] louis walks to get in shape and to play video games . [SEP],0.0814859942,1
[CLS] he is much happier with his choice [MASK] . [SEP],0.17418034,2
"[CLS] [MASK] , jenn can finally start picking names ! [SEP]",0.2192274481,3
"[CLS] [MASK] , christopher is on a diet and eats healthy . [SEP]",0.3320376128,4
"[CLS] she had managed to glide through high school , but was [MASK] in college . [SEP]",0.4091830403,5
"[CLS] finally , they found one that worked , and she is doing very well [MASK] . [SEP]",0.5885630846,6
[CLS] eventually he put this monopoly skill to use and is a big ceo [MASK] . [SEP],0.6261444092,7
[CLS] novelty red flags [MASK] hung from both of the comedians ' fake guns . [SEP],0.7946043313,8
[CLS] erica [MASK] trains other people with weight programs . [SEP],0.8644710779,9
[CLS] right [MASK] i 'm too sore from my last workout to get started . [SEP],0.9974847138,10
